Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
85808,6422.41,6534.99,6455.3086,6402.5576,7879.179163701813,6301.869
85809,6432.17,6709.8623,6565.117,6476.508,7884.710218169327,6471.3843
85810,6642.0,6795.2603,6652.1465,6685.2876,7884.710218169327,6581.9414
85811,6960.28,6979.135,6857.7676,6928.3857,7884.710218169327,6855.1294
85812,7320.87,7238.0254,7147.6714,7261.86,7884.710218169327,7181.296
85813,7700.4,7485.66,7430.3545,7690.6157,7973.409087057395,7536.647
85814,8026.47,7803.456,7774.387,8021.073,8007.325773979739,7878.195
85815,8340.17,8116.6084,8131.965,8342.002,8182.720581440045,8191.252
85816,8599.07,8415.158,8440.628,8634.541,8502.930059736529,8488.727
85817,8607.47,8784.319,8748.443,8853.634,8662.389496331101,8814.13
85818,8766.32,8874.264,8868.785,8974.159,8943.572523508292,8971.072
85819,8726.94,9001.364,8960.102,9001.581,9091.1655737061,9026.395
85820,8725.8,8967.223,8970.244,8947.765,9101.63541349426,9011.269
85821,8739.91,8957.113,8975.131,9116.933,9174.224047854868,8965.48
85822,8730.05,8983.911,8997.378,9055.979,9261.746598747888,8911.001
85823,8676.62,8992.547,8982.9375,9094.393,9328.547280037772,8902.646
85824,8706.94,8914.872,8919.57,9150.271,9344.873653538738,8872.3545
85825,8673.62,8880.938,8879.196,9142.31,9352.521324847248,8878.335
85826,8689.01,8824.548,8846.167,9204.044,9352.521324847248,8880.131
85827,8722.71,8780.431,8807.855,9140.174,9340.210333232437,8857.55
85828,8758.53,8737.817,8779.66,9159.826,9317.0932391661,8832.979
85829,8800.54,8709.013,8719.157,9101.221,9298.339892743748,8736.216
85830,8825.8,8661.517,8668.6875,9059.58,9298.339892743748,8676.117
85831,8841.9,8677.692,8644.243,9069.447,9298.339892743748,8638.907
85832,8718.52,8686.087,8606.543,9060.004,9305.987564052257,8605.868
85833,8692.14,8551.707,8505.065,9046.027,9305.987564052257,8550.224
85834,8643.35,8471.997,8435.31,8968.498,9266.07996286839,8494.543
85835,8510.24,8365.415,8345.624,8904.694,9259.524865851356,8399.712
85836,8348.76,8320.3125,8275.469,8779.45,9157.698360598744,8410.875
85837,8257.95,8226.196,8234.356,8724.458,8922.700869317334,8323.546
85838,8244.88,8148.523,8231.617,8641.708,8935.011860932147,8227.071
85839,8309.18,8129.452,8262.759,8552.492,9038.367321984815,8146.114
85840,8222.97,8036.5317,8201.1455,8351.292,8935.547440097374,8070.4355
85841,8068.83,7822.6772,8051.559,8175.199,8912.85668253723,7903.883
85842,7946.74,7659.466,7907.1304,8095.54,8895.22305535077,7697.3066
85843,7815.45,7663.0747,7850.496,8054.3784,8749.688412810952,7610.8784
85844,7753.92,7644.0254,7777.6357,7984.1895,8636.836033230798,7534.717
85845,7586.01,7669.8975,7717.5415,7844.5923,8348.09347361535,7552.9673
85846,7321.49,7559.164,7599.9673,7677.3125,8256.71669322549,7451.934
85847,7107.15,7352.766,7424.9087,7482.0547,8083.101331330411,7308.54
85848,6905.44,7152.8496,7160.105,7284.719,7987.460934273904,6931.818
85849,6685.05,7026.656,6931.9824,7111.5854,7949.500948506094,6667.522
85850,6420.49,6879.794,6742.7603,6799.0,7894.739940413614,6568.5557
85851,6235.78,6725.0493,6574.7183,6555.929,7881.990085272249,6237.1704
85852,6065.24,6561.7393,6434.515,6361.8696,7881.990085272249,5997.2573
85853,5992.03,6477.392,6335.1562,6276.1455,7879.179163701813,5873.4834
85854,5974.2,6416.945,6284.673,6229.0034,7879.179163701813,5901.1685
85855,5968.51,6406.209,6266.1924,6262.3105,7879.179163701813,6046.951
85856,6016.01,6444.4673,6283.5884,6270.598,7879.179163701813,5972.924
85857,6005.39,6636.1567,6358.1,6301.1685,7884.710218169327,6241.451
85858,6104.039999999999,6646.6753,6379.4395,6407.649,7884.710218169327,6219.4443
85859,6310.36,6693.2544,6459.191,6544.447,7884.710218169327,6315.732
85860,6617.23,6800.2617,6621.3496,6771.1465,7884.710218169327,6499.018
85861,6986.72,6962.5913,6890.586,7124.3047,7884.710218169327,6806.003
85862,7313.32,7171.3867,7243.746,7534.965,7884.710218169327,7141.4116
85863,7618.65,7417.9575,7636.346,7849.1514,7932.365113927021,7446.6514
85864,7902.21,7670.0977,7967.63,8246.279,8181.399620538764,7783.6265
85865,8118.4,7947.95,8245.395,8395.2295,8237.713272252522,8139.8833
85866,8240.1,8082.1406,8381.428,8491.065,8457.094832219273,8355.823
85867,8269.32,8220.211,8494.77,8548.309,8685.612134092642,8518.106
85868,8339.51,8267.165,8537.411,8573.6,8695.941113594794,8600.151
85869,8393.03,8273.792,8534.389,8612.004,8768.721077397386,8612.062
85870,8496.69,8336.404,8549.171,8605.443,8866.043673245144,8627.704
85871,8481.54,8330.05,8512.929,8577.639,8874.534733546427,8624.126
85872,8521.15,8292.474,8471.98,8556.125,8886.877716690202,8606.911
85873,8493.49,8233.545,8412.961,8595.085,8886.877716690202,8568.68
85874,8519.37,8176.715,8375.132,8565.891,8863.660366463413,8553.488
85875,8552.41,8151.654,8362.789,8589.583,8851.097252867203,8566.846
85876,8632.61,8147.3354,8349.286,8546.694,8871.308037771923,8533.286
